sold,price
124,295600
141,299538
154,300702
267,511926
289,514134
326,527996
231,339964
270,338721
295,338702
102,472702
138,470872
131,486068
317,432035
465,435329
456,442452
146,871354
152,881212
121,855721
300,363161
357,365262
361,363885
194,472063
224,473089
272,473808
201,391342
209,387867
256,393602
207,388062
212,396728
308,396339
108,549879
216,558792
180,570665
116,712179
178,722627
179,729313
129,541576
180,553882
186,546952
166,448131
159,445549
191,449306
246,365296
283,367266
309,367402
262,395374
217,398057
261,396258
138,401748
129,398001
185,402410
143,627183
168,632614
172,649329
110,1294113
133,1288940
124,1262257
140,483930
200,502723
206,507183
241,502091
308,508360
322,519475
225,405553
273,410073
305,415558
153,499425
204,505198
218,518932
123,358981
198,356312
162,358034
156,411017
185,417693
254,424286
183,651995
241,656390
257,657558
192,494468
240,498785
250,496228
194,372902
195,374130
271,369204
157,428141
223,432142
211,442846
270,422441
237,418695
226,426489
320,576629
435,586165
427,593268
155,997393
168,957897
156,914870
125,305277
131,304153
124,305882
239,527115
262,525739
253,523582
260,334826
255,334510
250,334711
132,500246
122,494527
239,431249
353,440620
417,439782
374,438792
127,828560
137,799950
125,818880
319,364997
374,364424
301,367458
199,475064
190,478329
164,475304
222,386682
234,393802
227,393860
279,398331
243,394952
217,397157
134,575846
165,569477
132,562039
143,733133
174,720882
136,718071
157,556375
141,554542
141,561283
173,451900
164,454211
173,451076
272,366415
283,367546
292,366351
221,404082
270,403438
216,408048
167,406757
206,413672
173,410452
115,656948
142,645971
130,629164
109,1246384
105,1191209
113,1193336
154,504567
197,487844
192,490852
263,521142
239,516985
239,519234
255,420718
233,422711
248,417318
148,517023
213,510901
170,504065
154,368382
159,371678
142,365400
220,414820
247,411851
191,413867
207,648451
214,643937
233,649756
204,506787
232,513550
178,512367
208,373890
204,370475
217,375450
168,448436
144,455091
140,453177
207,431498
203,434610
201,435963
361,605360
330,599182
347,600835
169,925955
168,927864
150,955615